"Long" "Lat" "SiteNum" "Name" "State" "First" "Last" "PercComp" "Elev" "Dist"
"128.47" "-17.01" "002031" "TEXAS DOWNS" "WA" "1922" "1995" "0.9" "250" NA
"128.22" "-17.02" "002032" "WARMUN" "WA" "1897" "2016" "0.79" "203" NA
"128.3" "-17.8" "002033" "TURNER RIVER" "WA" "1920" "1965" "0.85" NA NA
"127.95" "-18.45" "002034" "ELVIRE" "WA" "1962" "1969" "0.6" NA NA
"127.75" "-17.15" "002035" "GREENVALE" "WA" "1914" "1944" "0.71" NA NA
"126.23" "-17.39" "002036" "OLD MORNINGTON HOMESTEAD" "WA" "2002" "2016" "0.89" "280" NA
"128" "-17.3" "002037" "VIOLET VALLEY" "WA" "1912" "1941" "0.84" NA NA
"128.74" "-15.78" "002038" "KUNUNURRA" "WA" "1962" "1991" "0.74" "47" NA
"126.03" "-17.67" "002039" "DIMOND GORGE" "WA" "1963" "1986" "0.67" NA NA
"127.98" "-18.03" "002040" "SAUNDERS CREEK" "WA" "1964" "1974" "0.65" NA NA
"128.92" "-17.39" "002041" "ORD RIVER REGENERATION STATION" "WA" "1962" "1997" "0.87" "170" NA
"126.11" "-17.36" "002042" "GLENROY" "WA" "1932" "1993" "0.4" "240" NA
"126.12" "-18.34" "002043" "MOUNT KRAUSS" "WA" "1999" "2016" "0.66" "160" NA
"128.74" "-16.11" "002044" "LAKE ARGYLE RESORT" "WA" "1969" "2016" "0.9" "163" NA
"127.7" "-17.32" "002045" "FOAL CREEK" "WA" "1970" "1970" "1" NA NA
"128.1" "-16.95" "002046" "ADA VALE" "WA" "1920" "1925" "0.92" NA NA
"127.46" "-17.26" "002047" "BEDFORD DOWNS" "WA" "1970" "2011" "0.47" "530" NA
"128.44" "-18.3" "002048" "FLORA VALLEY" "WA" "1970" "2016" "0.83" "380" NA
"127.81" "-18.19" "002049" "SOPHIE DOWNS" "WA" "1980" "2016" "0.93" "400" NA
"127.69" "-17.78" "002050" "SPRINGVALE" "WA" "1991" "2016" "0.4" "420" NA
"127.67" "-19.56" "002051" "BILLILUNA" "WA" "1970" "2015" "0.43" "305" NA
"128.74" "-15.84" "002052" "TROPICAL FARM - ORD RIVER" "WA" "1980" "2005" "0.99" "40" NA
"126.74" "-17.61" "002053" "LANSDOWNE" "WA" "1947" "2016" "0.42" "400" NA
